run_name,model,cfg_path,out_dir,status
lif__id010__tau2__vth0p3__lr0p001__ig0p8__wd1em05__h384__L1,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id010__tau2__vth0p3__lr0p001__ig0p8__wd1em05__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id010__tau2__vth0p3__lr0p001__ig0p8__wd1em05__h384__L1,DONE
lif__id011__tau4__vth0p7__lr0p002__ig1__wd1em05__h500__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id011__tau4__vth0p7__lr0p002__ig1__wd1em05__h500__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id011__tau4__vth0p7__lr0p002__ig1__wd1em05__h500__L2,DONE
lif__id012__tau3__vth0p7__lr0p002__ig0p8__wd0p0001__h384__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id012__tau3__vth0p7__lr0p002__ig0p8__wd0p0001__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id012__tau3__vth0p7__lr0p002__ig0p8__wd0p0001__h384__L2,DONE
lif__id013__tau2__vth1__lr0p002__ig1p2__wd0p0001__h384__L1,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id013__tau2__vth1__lr0p002__ig1p2__wd0p0001__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id013__tau2__vth1__lr0p002__ig1p2__wd0p0001__h384__L1,DONE
lif__id014__tau3__vth1__lr0p0003__ig1p2__wd0p0001__h384__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id014__tau3__vth1__lr0p0003__ig1p2__wd0p0001__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id014__tau3__vth1__lr0p0003__ig1p2__wd0p0001__h384__L2,DONE
lif__id015__tau1p5__vth0p3__lr0p002__ig1p5__wd0__h256__L1,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id015__tau1p5__vth0p3__lr0p002__ig1p5__wd0__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id015__tau1p5__vth0p3__lr0p002__ig1p5__wd0__h256__L1,DONE
lif__id016__tau1p5__vth0p5__lr0p0003__ig1__wd0p0001__h256__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id016__tau1p5__vth0p5__lr0p0003__ig1__wd0p0001__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id016__tau1p5__vth0p5__lr0p0003__ig1__wd0p0001__h256__L2,DONE
lif__id017__tau1p5__vth0p5__lr0p001__ig1p2__wd0p0001__h500__L1,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id017__tau1p5__vth0p5__lr0p001__ig1p2__wd0p0001__h500__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id017__tau1p5__vth0p5__lr0p001__ig1p2__wd0p0001__h500__L1,DONE
lif__id018__tau2__vth1__lr0p0008__ig1__wd0p0001__h384__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id018__tau2__vth1__lr0p0008__ig1__wd0p0001__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id018__tau2__vth1__lr0p0008__ig1__wd0p0001__h384__L2,DONE
lif__id019__tau3__vth0p5__lr0p0003__ig1__wd1em05__h500__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id019__tau3__vth0p5__lr0p0003__ig1__wd1em05__h500__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id019__tau3__vth0p5__lr0p0003__ig1__wd1em05__h500__L2,DONE
lif__id020__tau1p5__vth1__lr0p002__ig1__wd0__h500__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id020__tau1p5__vth1__lr0p002__ig1__wd0__h500__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id020__tau1p5__vth1__lr0p002__ig1__wd0__h500__L2,DONE
lif__id021__tau1p5__vth0p7__lr0p0003__ig1p2__wd0__h256__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id021__tau1p5__vth0p7__lr0p0003__ig1p2__wd0__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id021__tau1p5__vth0p7__lr0p0003__ig1p2__wd0__h256__L2,DONE
lif__id022__tau3__vth1__lr0p001__ig1p2__wd0p0001__h256__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id022__tau3__vth1__lr0p001__ig1p2__wd0p0001__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id022__tau3__vth1__lr0p001__ig1p2__wd0p0001__h256__L2,DONE
lif__id023__tau2__vth0p5__lr0p002__ig1__wd0p0001__h256__L2,lif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/lif__id023__tau2__vth0p5__lr0p002__ig1__wd0p0001__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id023__tau2__vth0p5__lr0p002__ig1__wd0p0001__h256__L2,DONE
alif__id024__tau4__vth0p3__lr0p002__ig1__wd0p0001__h384__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id024__tau4__vth0p3__lr0p002__ig1__wd0p0001__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id024__tau4__vth0p3__lr0p002__ig1__wd0p0001__h384__L2,DONE
alif__id025__tau2__vth1__lr0p0008__ig0p8__wd0__h256__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id025__tau2__vth1__lr0p0008__ig0p8__wd0__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id025__tau2__vth1__lr0p0008__ig0p8__wd0__h256__L1,DONE
alif__id026__tau2__vth0p5__lr0p0008__ig1__wd0p0001__h384__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id026__tau2__vth0p5__lr0p0008__ig1__wd0p0001__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id026__tau2__vth0p5__lr0p0008__ig1__wd0p0001__h384__L1,DONE
alif__id027__tau1p5__vth1__lr0p002__ig1p5__wd1em05__h500__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id027__tau1p5__vth1__lr0p002__ig1p5__wd1em05__h500__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id027__tau1p5__vth1__lr0p002__ig1p5__wd1em05__h500__L1,DONE
alif__id028__tau4__vth0p7__lr0p0008__ig1__wd1em05__h384__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id028__tau4__vth0p7__lr0p0008__ig1__wd1em05__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id028__tau4__vth0p7__lr0p0008__ig1__wd1em05__h384__L2,DONE
alif__id029__tau4__vth0p7__lr0p001__ig1__wd1em05__h384__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id029__tau4__vth0p7__lr0p001__ig1__wd1em05__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id029__tau4__vth0p7__lr0p001__ig1__wd1em05__h384__L2,DONE
alif__id030__tau1p5__vth0p5__lr0p001__ig1__wd0__h384__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id030__tau1p5__vth0p5__lr0p001__ig1__wd0__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id030__tau1p5__vth0p5__lr0p001__ig1__wd0__h384__L1,DONE
alif__id031__tau3__vth0p3__lr0p001__ig1__wd1em05__h256__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id031__tau3__vth0p3__lr0p001__ig1__wd1em05__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id031__tau3__vth0p3__lr0p001__ig1__wd1em05__h256__L2,DONE
alif__id032__tau3__vth0p5__lr0p0008__ig1p2__wd0__h256__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id032__tau3__vth0p5__lr0p0008__ig1p2__wd0__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id032__tau3__vth0p5__lr0p0008__ig1p2__wd0__h256__L2,DONE
alif__id033__tau4__vth0p3__lr0p0008__ig1p2__wd0__h500__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id033__tau4__vth0p3__lr0p0008__ig1p2__wd0__h500__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id033__tau4__vth0p3__lr0p0008__ig1p2__wd0__h500__L2,DONE
alif__id034__tau3__vth0p3__lr0p0003__ig1__wd1em05__h256__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id034__tau3__vth0p3__lr0p0003__ig1__wd1em05__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id034__tau3__vth0p3__lr0p0003__ig1__wd1em05__h256__L1,DONE
alif__id035__tau3__vth0p7__lr0p001__ig1__wd1em05__h384__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id035__tau3__vth0p7__lr0p001__ig1__wd1em05__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id035__tau3__vth0p7__lr0p001__ig1__wd1em05__h384__L1,DONE
alif__id036__tau1p5__vth0p3__lr0p002__ig1p5__wd1em05__h256__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id036__tau1p5__vth0p3__lr0p002__ig1p5__wd1em05__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id036__tau1p5__vth0p3__lr0p002__ig1p5__wd1em05__h256__L1,DONE
alif__id037__tau3__vth0p3__lr0p0003__ig0p8__wd1em05__h256__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id037__tau3__vth0p3__lr0p0003__ig0p8__wd1em05__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id037__tau3__vth0p3__lr0p0003__ig0p8__wd1em05__h256__L1,DONE
alif__id038__tau4__vth0p5__lr0p0003__ig1p2__wd1em05__h384__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id038__tau4__vth0p5__lr0p0003__ig1p2__wd1em05__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id038__tau4__vth0p5__lr0p0003__ig1p2__wd1em05__h384__L2,DONE
alif__id039__tau3__vth1__lr0p001__ig1p2__wd0p0001__h384__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id039__tau3__vth1__lr0p001__ig1p2__wd0p0001__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id039__tau3__vth1__lr0p001__ig1p2__wd0p0001__h384__L1,DONE
alif__id040__tau3__vth0p7__lr0p002__ig1p2__wd0__h384__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id040__tau3__vth0p7__lr0p002__ig1p2__wd0__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id040__tau3__vth0p7__lr0p002__ig1p2__wd0__h384__L1,DONE
alif__id041__tau3__vth0p3__lr0p001__ig1p2__wd1em05__h500__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id041__tau3__vth0p3__lr0p001__ig1p2__wd1em05__h500__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id041__tau3__vth0p3__lr0p001__ig1p2__wd1em05__h500__L1,DONE
alif__id042__tau1p5__vth0p3__lr0p0003__ig0p8__wd0__h256__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id042__tau1p5__vth0p3__lr0p0003__ig0p8__wd0__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id042__tau1p5__vth0p3__lr0p0003__ig0p8__wd0__h256__L1,DONE
alif__id043__tau3__vth0p5__lr0p001__ig1p5__wd0__h256__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id043__tau3__vth0p5__lr0p001__ig1p5__wd0__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id043__tau3__vth0p5__lr0p001__ig1p5__wd0__h256__L2,DONE
alif__id044__tau2__vth0p5__lr0p002__ig1p5__wd0__h384__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id044__tau2__vth0p5__lr0p002__ig1p5__wd0__h384__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id044__tau2__vth0p5__lr0p002__ig1p5__wd0__h384__L2,DONE
alif__id045__tau1p5__vth0p5__lr0p002__ig1__wd1em05__h256__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id045__tau1p5__vth0p5__lr0p002__ig1__wd1em05__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id045__tau1p5__vth0p5__lr0p002__ig1__wd1em05__h256__L1,DONE
alif__id046__tau2__vth0p7__lr0p002__ig1p2__wd1em05__h256__L2,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id046__tau2__vth0p7__lr0p002__ig1p2__wd1em05__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id046__tau2__vth0p7__lr0p002__ig1p2__wd1em05__h256__L2,DONE
alif__id047__tau3__vth0p7__lr0p0008__ig0p8__wd0p0001__h500__L1,alif,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/alif__id047__tau3__vth0p7__lr0p0008__ig0p8__wd0p0001__h500__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id047__tau3__vth0p7__lr0p0008__ig0p8__wd0p0001__h500__L1,DONE
srm__id048__tr4__trefr6__vth0p5__lr0p0003__ig0p8__wd0p0001__h500__L2,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id048__tr4__trefr6__vth0p5__lr0p0003__ig0p8__wd0p0001__h500__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id048__tr4__trefr6__vth0p5__lr0p0003__ig0p8__wd0p0001__h500__L2,DONE
srm__id049__tr3__trefr10__vth0p5__lr0p002__ig1p2__wd0p0001__h256__L1,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id049__tr3__trefr10__vth0p5__lr0p002__ig1p2__wd0p0001__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id049__tr3__trefr10__vth0p5__lr0p002__ig1p2__wd0p0001__h256__L1,DONE
srm__id050__tr3__trefr8__vth1__lr0p001__ig1p5__wd1em05__h256__L2,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id050__tr3__trefr8__vth1__lr0p001__ig1p5__wd1em05__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id050__tr3__trefr8__vth1__lr0p001__ig1p5__wd1em05__h256__L2,DONE
srm__id051__tr4__trefr6__vth0p7__lr0p0008__ig0p8__wd1em05__h256__L2,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id051__tr4__trefr6__vth0p7__lr0p0008__ig0p8__wd1em05__h256__L2.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id051__tr4__trefr6__vth0p7__lr0p0008__ig0p8__wd1em05__h256__L2,DONE
srm__id052__tr2__trefr6__vth0p7__lr0p0003__ig1p2__wd1em05__h500__L1,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id052__tr2__trefr6__vth0p7__lr0p0003__ig1p2__wd1em05__h500__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id052__tr2__trefr6__vth0p7__lr0p0003__ig1p2__wd1em05__h500__L1,DONE
srm__id053__tr4__trefr8__vth1__lr0p001__ig0p8__wd0p0001__h256__L1,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id053__tr4__trefr8__vth1__lr0p001__ig0p8__wd0p0001__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id053__tr4__trefr8__vth1__lr0p001__ig0p8__wd0p0001__h256__L1,DONE
srm__id054__tr3__trefr10__vth0p7__lr0p0003__ig1p5__wd0__h500__L1,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id054__tr3__trefr10__vth0p7__lr0p0003__ig1p5__wd0__h500__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id054__tr3__trefr10__vth0p7__lr0p0003__ig1p5__wd0__h500__L1,DONE
srm__id055__tr3__trefr8__vth0p7__lr0p0008__ig1p2__wd1em05__h256__L1,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id055__tr3__trefr8__vth0p7__lr0p0008__ig1p2__wd1em05__h256__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id055__tr3__trefr8__vth0p7__lr0p0008__ig1p2__wd1em05__h256__L1,DONE
srm__id056__tr3__trefr8__vth1__lr0p0003__ig1p5__wd0p0001__h384__L1,srm,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/configs/srm__id056__tr3__trefr8__vth1__lr0p0003__ig1p5__wd0p0001__h384__L1.json,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id056__tr3__trefr8__vth1__lr0p0003__ig1p5__wd0p0001__h384__L1,DONE
